星火央衛視,#genre#
parse=1
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
CCTV1綜合,https://www.xhzb.tw/tv-show-20000-1.html
CCTV2財經,https://www.xhzb.tw/tv-show-20001-1.html
CCTV3綜藝,https://www.xhzb.tw/tv-show-20002-1.html
CCTV4中文國際,https://www.xhzb.tw/tv-show-20003-1.html
CCTV5體育,https://www.xhzb.tw/tv-show-20004-1.html
CCTV5+體育,https://www.xhzb.tw/tv-show-20017-1.html
CCTV6電影,https://www.xhzb.tw/tv-show-20005-1.html
CCTV7國防軍事,https://www.xhzb.tw/tv-show-20006-1.html
CCTV8電視劇,https://www.xhzb.tw/tv-show-20007-1.html
CCTV9記錄,https://www.xhzb.tw/tv-show-20008-1.html
CCTV16奧林匹克,https://www.xhzb.tw/tv-show-20015-1.html

yCCTV4K,https://www.yangshipin.cn/tv/home?pid=600002264
y9紀錄,https://www.yangshipin.cn/tv/home?pid=600004078
y10科教,https://www.yangshipin.cn/tv/home?pid=600001805
y11戲曲,https://www.yangshipin.cn/tv/home?pid=600001806
y12社會與法,https://www.yangshipin.cn/tv/home?pid=600001807
y13新聞,https://www.yangshipin.cn/tv/home?pid=600001811

湖南衛視,https://www.xhzb.tw/tv-show-20018-1.html
浙江衛視,https://www.xhzb.tw/tv-show-20019-1.html
江蘇衛視,https://www.xhzb.tw/tv-show-20020-1.html
廣東衛視,https://www.xhzb.tw/tv-show-20022-1.html
甘肅衛視,https://www.xhzb.tw/tv-show-20023-1.html
翡翠台,https://www.xhzb.tw/tv-show-20052-1.html
無線新聞台,https://www.xhzb.tw/tv-show-20053-1.html

y江蘇衛視,https://www.yangshipin.cn/tv/home?pid=600002521
y浙江衛視,https://www.yangshipin.cn/tv/home?pid=600002520
y湖南衛視,https://www.yangshipin.cn/tv/home?pid=600002475
y北京衛視,https://www.yangshipin.cn/tv/home?pid=600002309
y東方衛視,https://www.yangshipin.cn/tv/home?pid=600002483
y廣東衛視,https://www.yangshipin.cn/tv/home?pid=600002485
y深圳衛視,https://www.yangshipin.cn/tv/home?pid=600002481
yCCTV3,https://www.yangshipin.cn/tv/home?pid=600001801
yCCTV5,https://www.yangshipin.cn/tv/home?pid=600001818
yCCTV5+,https://www.yangshipin.cn/tv/home?pid=600001817
