港澳精選,#genre#
鳳凰衛視中文台,https://cdn6.163189.xyz/163189/fhzw
鳳凰衛視資訊台,https://cdn6.163189.xyz/163189/fhzx
鳳凰衛視香港台,https://cdn6.163189.xyz/163189/fhhk
翡翠台,https://o11.163189.xyz/stream/tvb/fct4k/
翡翠台,https://o11.163189.xyz/stream/tvb/fct/
明珠台,https://o11.163189.xyz/stream/tvb/mzt/
TVB Plus,https://o11.163189.xyz/stream/tvb/tvbp/
無綫新聞台,https://cdn6.163189.xyz/163189/wxxw
Now新聞台,https://cdn.163189.xyz/163189/now
娛樂新聞台,https://cdn6.163189.xyz/163189/ylxw
千禧經典台,https://o11.163189.xyz/stream/live/tvbc/
天映马来西亚,https://o11.163189.xyz/stream/live/typd/
天映經典頻道,https://o11.163189.xyz/stream/live/ccm/
功夫台,https://cdn6.163189.xyz/163189/yzwx
TVB XING HE,https://o11.163189.xyz/stream/live/tvbxh/
AOD,https://o11.163189.xyz/stream/live/aod/
AEC,https://o11.163189.xyz/stream/live/aec/
QJ,https://smt.1678520.xyz/smt3.2.3.php?id=Quanjia
HUA HEE DAI,https://o11.163189.xyz/stream/live/hxt/
iQIYI,https://o11.163189.xyz/stream/live/iqiyi/
8TV,http://cdn6.163189.xyz/163189/8tv
Channel 5,http://cdn6.163189.xyz/163189/ch5
Channel 8,http://cdn6.163189.xyz/163189/ch8
Channel U,http://cdn6.163189.xyz/163189/ch
